id,Window_size,Source_port,Destination_port,First_packet_size,forward_packets,forward_total_bytes,Min_forward_inter_arrival_time_difference,Max_forward_inter_arrival_time_difference,Mean_forward_inter_arrival_time_difference,STD_forward_inter_arrival_time_difference,Mean_forward_packets,STD_forward_packets,backward_packets,backward_total_bytes,Min_backward_inter_arrival_time_difference,Max_backward_inter_arrival_time_difference,Mean_backward_inter_arrival_time_difference,STD_backward_inter_arrival_time_difference,Mean_backward_packets,STD_backward_packets,Mean_backward_TTL_value,Total_packets,Minimum_packet_size,Maximum_packet_size,Mean_packet_size,class,Maximum_backward_packet,Maximum_forward_packet,Minimum_backward_packet,Minimum_forward_packet
10,8192,49162,443,214.0,13,803,0.0005729999993491218,2.0339160000003176,0.6366464166667356,0.8252845037212531,61.769230769230774,73.22130137029096,16,5600,3.5999999454361387e-05,10942.370775,684.371949875,2735.4664846342002,350.0,561.1269612722834,75.9375,29,20,1440,220.79310344827587,normal,1440.0,214.0,20.0,20.0
11,8192,49162,443,210.0,38,2494,0.00034700000105658546,10.198347000001377,3.831518891891883,4.859190298917322,65.63157894736842,108.81335894055486,54,28387,3.80000001314329e-05,9392.825275,176.56607614814808,1277.845203309559,525.6851851851852,618.8787129040827,67.53703703703704,92,20,1440,335.6630434782609,normal,1440.0,366.0,20.0,20.0
12,8192,49163,443,214.0,13,803,0.0018629999995027906,2.086387000001196,0.638753749999978,0.8308427150514939,61.769230769230774,73.22130137029096,15,5580,4.3000000005122274e-05,10942.380681,729.9987408,2825.170503573313,372.0,579.89444852367,76.73333333333333,28,20,1440,227.9642857142857,normal,1440.0,214.0,20.0,20.0
13,8192,49163,443,224.0,17,1034,0.001197999999988042,10.016207000000009,3.8991616875,4.864536926648286,60.82352941176471,96.5098669140348,19,3755,0.00012699999999199463,188.174004,13.177549315789475,42.630493234022865,197.63157894736838,444.1634096849086,64.0,36,20,1440,133.02777777777777,normal,1440.0,366.0,20.0,20.0
14,8192,49163,443,537.0,28,1899,0.0006899999989400385,10.094970000000103,4.999559555555607,4.989629090460012,67.82142857142857,125.47216116538851,32,9458,3.000000106112566e-05,9393.648292,297.76894025,1659.8156485321551,295.5625,502.9512858794,69.96875,60,20,1440,189.28333333333333,normal,1440.0,537.0,20.0,20.0
15,8192,49164,443,214.0,12,783,0.00038700000004610047,2.105297999998584,0.6930691818182492,0.8716928856599047,65.25,75.3454167032197,14,5560,3.80000001314329e-05,10942.382608,782.1385604999997,2924.31953398511,397.1428571428572,586.6487426499331,64.0,26,20,1440,243.9615384615384,normal,1440.0,214.0,20.0,20.0
16,8192,49164,80,448.0,28,2300,0.006837000000018636,10.016632000000016,6.452408703703704,4.497820445423862,82.14285714285714,152.11684453581856,28,4124,0.005673999999999069,188.93691299999998,12.968937214285715,34.771132748964746,147.28571428571428,293.1357740204733,64.0,56,20,910,114.71428571428572,normal,910.0,448.0,20.0,20.0
17,8192,49164,443,537.0,26,1535,0.0003370000013092067,10.100280000000566,5.3564756399999895,5.02119831255359,59.03846153846154,117.39079376824431,33,8393,8.600000001024456e-05,9394.718103,288.74557590909086,1634.689462873659,254.33333333333331,494.75427402566896,69.78787878787878,59,20,1440,168.27118644067798,normal,1440.0,537.0,20.0,20.0
18,8192,49165,443,220.0,24,2199,0.001436000000467175,68.89357000000018,8.885751086956509,22.70759376314153,91.625,197.9854655403204,32,5115,7.299999924725853e-05,9398.763341,300.0974719375,1660.432477596684,159.84375,348.5202923119768,69.96875,56,20,1440,130.60714285714286,normal,1440.0,985.0,20.0,20.0
19,8192,49165,443,20.0,4,92,0.02186499999879743,1.7787129999996978,0.6396039999999631,0.9876733931065836,23.0,6.0,3,64,0.01777799999945273,10942.443338,3648.081013333333,6317.103139152482,21.33333333333333,2.309401076758503,64.0,7,20,32,22.285714285714285,normal,24.0,32.0,20.0,20.0
20,8192,49165,443,223.0,11,592,0.0003070000000207074,4.993207999999981,0.6290769000000012,1.5433550060329495,53.81818181818182,67.5349067991038,13,3334,4.500000000007276e-05,189.397685,15.038444307692304,52.40778164099346,256.46153846153845,526.089918706016,78.69230769230771,24,20,1440,163.58333333333334,normal,1440.0,223.0,20.0,20.0
21,8192,49166,443,20.0,4,92,0.023402000000714903,1.7798120000006747,0.6396923333334902,0.9884542983219524,23.0,6.0,3,64,0.020649000000048545,10942.445473,3648.083209666667,6317.103085946368,21.33333333333333,2.309401076758503,64.0,7,20,32,22.285714285714285,normal,24.0,32.0,20.0,20.0
22,8192,49166,443,537.0,40,4507,0.001164999999673455,68.60111000000143,8.304090230769221,20.42825399945521,112.675,167.52441651354926,51,6644,0.00037599999996018596,9400.815989,190.6793393137255,1315.5962725322631,130.27450980392157,266.1883602587741,64.0,91,20,1212,122.53846153846152,normal,1212.0,687.0,20.0,20.0
