id,forward_packets,forward_total_bytes,Min_forward_inter_arrival_time_difference,Max_forward_inter_arrival_time_difference,Mean_forward_inter_arrival_time_difference,STD_forward_inter_arrival_time_difference,Mean_forward_packets,STD_forward_packets,backward_packets,backward_total_bytes,Min_backward_inter_arrival_time_difference,Max_backward_inter_arrival_time_difference,Mean_backward_inter_arrival_time_difference,STD_backward_inter_arrival_time_difference,Mean_backward_packets,STD_backward_packets,Mean_backward_TTL_value,Total_packets,Minimum_packet_size,Maximum_packet_size,Mean_packet_size,class,Maximum_backward_packet,Maximum_forward_packet,Minimum_backward_packet,Minimum_forward_packet
2375,4,92,0.012719999999717402,6.086167999999816,2.0647793333331115,3.4828703922944886,23.0,6.0,3,64,0.09188300000005256,6678.96936,2228.383551666667,3854.3215382985472,21.333333333333332,2.309401076758503,64,7,20,32,22.285714285714285,normal,24.0,32.0,20.0,20.0
2376,15,1435,0.015636000000085915,10.044880000000376,4.40593992857144,5.054094117039795,95.66666666666667,207.3274382870407,19,3594,0.0001049999991664663,6702.839781,356.0209432631579,1536.959441520634,189.1578947368421,388.35397129106826,64,34,20,1440,147.91176470588235,normal,1440.0,816.0,20.0,20.0
2377,17,1173,0.0007609999993292149,10.07530399999996,7.500870812499954,4.432614819944158,69.0,196.12464149106813,16,602,0.0026790000001710723,6719.316763,427.4577655,1677.833814425622,37.625,69.44050211031984,64,33,20,830,53.78787878787879,normal,298.0,830.0,20.0,20.0
2378,23,3186,0.0,10.491775000000416,5.99326090909087,5.064962479065031,138.52173913043478,336.62534739072885,24,1105,6.599999960599234e-05,6736.2881,286.170932125,1373.8783423982054,46.041666666666664,93.16860787171622,71.95833333333333,47,20,1480,91.29787234042553,normal,458.0,1480.0,20.0,20.0
2379,4,92,0.01291399999990972,6.102944000000207,2.0441350000000966,3.515032172474908,23.0,6.0,3,64,0.008964999999989232,6782.768148,2262.9617773333334,3914.268325174461,21.333333333333332,2.309401076758503,64,7,20,32,22.285714285714285,normal,24.0,32.0,20.0,20.0
2380,17,4254,0.0,10.492264999999861,3.8091800624999905,5.000184742035449,250.23529411764707,490.2502587214724,20,3879,9.6000000667118e-05,6786.214191,342.3523978,1516.7348391117769,193.95,433.12784972860646,64,37,20,1480,219.8108108108108,normal,1440.0,1480.0,20.0,20.0
2381,90,5555,0.0011049999993701931,69.80938500000047,3.369934033707865,13.392098188751902,61.72222222222222,121.96103888636813,222,193401,0.0,6789.526807,31.93429936036036,455.67384178412414,871.1756756756756,678.3240597858689,64,312,20,1440,637.6794871794872,normal,1440.0,655.0,20.0,20.0
2382,20,1833,0.0010720000000219443,70.31492100000014,11.244335000000031,25.717939882237445,91.65,137.61015683138325,23,1556,0.0009360000003653113,6792.863942,304.6293719130435,1414.5831081494193,67.65217391304348,95.8420142714287,64,43,20,537,78.81395348837209,normal,384.0,537.0,20.0,20.0
2383,18,1105,0.0020489999997153063,69.84433100000024,12.458738058823496,26.892689936885027,61.388888888888886,62.106302501900046,21,4984,9.299999965151073e-05,6820.967573,334.89258504761904,1486.3490732277664,237.33333333333334,475.85726151161475,64,39,20,1440,156.12820512820514,normal,1440.0,244.0,20.0,20.0
2384,18,1105,0.0025799999993978417,69.49182699999983,12.468193470588202,26.78826964611869,61.388888888888886,62.106302501900046,21,4985,7.299999924725853e-05,6829.096273,335.2863833809524,1488.1195697663206,237.38095238095238,469.6518365971197,64,39,20,1440,156.15384615384616,normal,1440.0,244.0,20.0,20.0
2385,10,591,0.002308999999513617,6.208581999999296,0.7620058888888808,2.0451668919867063,59.1,75.26021525347905,12,6017,4.1000000237545464e-05,6832.745717,569.9655260833333,1972.2651431442039,501.4166666666667,650.8958104494191,64,22,20,1440,300.3636363636364,normal,1440.0,242.0,20.0,20.0
2386,11,611,0.0003310000001874869,6.25709900000038,0.6851388000000043,1.9601504790309086,55.54545454545455,72.36485837250514,15,6077,4.400000034365803e-05,6832.757064,455.9728887333333,1764.0850082260786,405.1333333333333,606.3419434452414,76.73333333333333,26,20,1440,257.2307692307692,normal,1440.0,242.0,20.0,20.0
2387,26,1663,0.0016310000000885339,10.774639000000207,5.495296520000011,4.990228503066399,63.96153846153846,108.33558261964747,30,9647,5.200000032345997e-05,6833.329653,232.3555118666667,1246.734690894126,321.56666666666666,538.5922700274609,64,56,20,1440,201.96428571428572,normal,1440.0,436.0,20.0,20.0
2388,77,3021,0.0007519999999203719,69.62042800000017,4.323423513157889,16.09631313738647,39.23376623376623,53.62979732041549,320,354129,0.0,6833.32957,22.38082888125,382.02172481929296,1106.653125,574.6084628424308,64,397,20,1440,899.6221662468514,normal,1440.0,335.0,20.0,20.0
2389,20,1145,0.0017339999994874233,69.67416899999989,11.16347547368423,25.451347366551005,57.25,60.11206639532357,23,4500,4.3000000005122274e-05,6843.58377,306.76788891304346,1425.1679561420033,195.65217391304347,412.87986462008007,64,43,20,1440,131.27906976744185,normal,1440.0,244.0,20.0,20.0
2390,21,2205,0.0011060000006182236,69.54867800000011,10.583741550000013,24.867021331947296,105.0,219.82197342395048,25,5213,5.0999999984924216e-05,6848.294072,282.3975502,1368.0807997465974,208.52,399.49813516460875,64,46,20,1440,161.2608695652174,normal,1440.0,1034.0,20.0,20.0
2391,22,2124,0.001781999999366235,70.30148699999972,10.125269047619051,24.486483317577438,96.54545454545455,147.51100920100112,24,6736,7.999999979801942e-05,6860.465654,294.71137475,1398.690260748044,280.6666666666667,495.3087457568142,64,46,20,1440,192.6086956521739,normal,1440.0,657.0,20.0,20.0
2392,17,800,0.005395000000135042,10.13958300000013,7.48100393750002,4.4015219519523265,47.05882352941177,105.67548828148092,16,1373,0.007856999999603431,6860.713181,436.2751551875,1713.1880741446025,85.8125,262.18523191311397,64,33,20,1069,65.84848484848484,normal,1069.0,457.0,20.0,20.0
2393,59,6566,0.0006970000004002941,10.216526999999587,5.868842706896555,4.820243833995241,111.28813559322033,338.650773778751,126,105259,2.700000004551839e-05,6861.996297,57.161755761904764,611.0883354099572,835.3888888888889,677.6185944582362,64,185,20,1440,604.4594594594595,normal,1440.0,1411.0,20.0,20.0
