,# forward packets,# forward total bytes,Min forward inter arrival time difference,Max forward inter arrival time difference,Mean forward inter arrival time difference,STD forward inter arrival time difference,Mean forward packets,STD forward packets,# backward packets,# backward total bytes,Min backward inter arrival time difference,Max backward inter arrival time difference,Mean backward inter arrival time difference,STD backward inter arrival time difference,Mean backward packets,STD backward packets,Mean backward TTL value,# Total packets,Minimum packet size,Maximum packet size,Mean packet size,Label,Maximum backward packet,Maximum forward packet,Minimum backward packet,Minimum forward packet
0,24,1348,0.0020629999999073334,10.168155999999726,5.695160260869512,4.822770220297616,56.166666666666664,54.92307692307693,26,8466,3.899999865097925e-05,10937.748222,425.7194501923077,2144.046970062107,325.61538461538464,,64.0,50,20,20,196.28,normal,20.0,0.0,20.0,20.0
1,15,1220,0.0021029999988968484,10.133654000001115,4.362266214285747,5.072413674322745,81.33333333333333,69.92913904471173,19,6017,7.200000072771218e-05,9386.945734,497.26118468421055,2152.740470380966,316.6842105263158,,64.0,34,20,20,212.85294117647058,normal,20.0,0.0,20.0,20.0
2,5,209,0.002140000000011355,0.25596399999999164,0.07038550000000043,0.12393226339281133,41.8,25.299999999999997,5,353,0.00015199999999992997,105.647675,21.183705800000002,47.21691471330263,70.6,,64.0,10,20,20,56.2,normal,20.0,0.0,20.0,20.0
3,11,592,0.002028999999311054,5.186263000001418,0.8794371999998475,1.5819477090617873,53.81818181818182,136.83265197598777,14,7621,4.3000000005122274e-05,10939.04811,781.987191,2923.403584135551,544.3571428571429,,64.0,25,20,20,328.52,normal,20.0,0.0,20.0,20.0
4,140,6198,0.0010880000008910429,10.332580000000235,1.0313605179856122,3.0111030710793645,44.27142857142857,42.030979584168925,287,209742,0.0,9391.230951,33.221488219512196,554.3214444475755,730.8083623693379,,64.66550522648083,427,20,20,505.7142857142857,normal,20.0,0.0,20.0,20.0
5,4,92,0.008544000000256347,0.9107769999991433,0.3122316666667757,0.5183742656280974,23.0,0.9428090415820625,3,64,0.01428699999996752,10939.090062,3646.672888333333,6315.418543422475,21.333333333333332,,64.0,7,20,20,22.285714285714285,normal,20.0,0.0,20.0,20.0
6,88,4969,0.0010009999999738284,11.236945999999989,8.290884471264366,3.717331573088635,56.46590909090909,7.480051706578212,90,8151,0.001007999999956155,186.476234,10.086412744444445,19.203837448147798,90.56666666666666,,64.0,178,20,20,73.70786516853933,normal,20.0,0.0,20.0,20.0
7,31,2593,0.0004380000009405194,10.200932999998258,4.568690066666689,4.932618430771245,83.64516129032258,51.81163873602523,38,12736,7.60000002628658e-05,9391.538727,250.75213726315792,1522.9152238630902,335.1578947368421,,69.02631578947368,69,20,20,222.15942028985506,normal,20.0,0.0,20.0,20.0
8,13,803,0.002232999999250751,2.1478880000013305,0.6388263333333271,0.8602377258977745,61.76923076923077,94.07595715317338,15,5580,8.800000068731606e-05,10942.369774,729.9973522,2825.1678706005764,372.0,,76.73333333333333,28,20,20,227.96428571428572,normal,20.0,0.0,20.0,20.0
9,62,3604,0.001441000000340864,10.19713899999988,2.342753360655747,4.196086527601989,58.12903225806452,66.44939919825569,135,106543,2.9000000722589903e-05,9391.707523,70.62653543703703,808.2234729319572,789.2074074074075,,65.41481481481482,197,20,20,559.1218274111675,normal,20.0,0.0,20.0,20.0
